name,smiles,Molecular weight,SLogP,TPSA
MOSES 21,CC(NC(=O)c1c(cc(OC)c(OC)c1)NC(C1C(C)C1)=O)C,320.389,2.4365,76.66
MOSES 22,Cc1ccc(CS(=O)(=O)c2ccc(O)cc2)cc1,262.33,2.67452,54.37
MOSES 23,c1ccnc(c1)-c1ccc2c(ccc(c2)-c2c(C(=O)N)ccnc2)n1,326.359,3.4577,81.76
MOSES 24,c1cc(C(F)(F)F)cc(CNCc2n3CCCCc3nn2)c1,310.323,2.923,42.74
MOSES 25,C(#Cc1ccc(cc1)C(=O)N(CCC)CC(F)F)CO,281.302,2.1477,40.54
MOSES 26,N#Cc1ccc(C(=O)N2CCn3c(nnc3-c3ccccc3)C2)cc1,329.363,2.47278,74.81
MOSES 27,n1(C(c2n[nH]c(c2)-c2ccccc2OC)=O)cc(nn1)C,283.291,1.67372,85.69
MOSES 28,Cc1ccc(C)c(S(N(C)CC(COC)O)(=O)=O)c1,287.381,0.93124,66.84
MOSES 29,C1CN(CCN1C(Cc1sccc1)=O)Cc1c(cccc1)C,314.454,2.94342,23.55
MOSES 30,C(Nc1cc(S(N)(=O)=O)ccc1C)(=O)C(C)Sc1ccccc1,350.465,2.76172,89.26
MOSES 31,CN1C=C(c2[nH]ncc2-c2ccccc2)C(C)(C)C1C(N)=O,296.374,2.2431,75.01
MOSES 32,c1cc(c(cc1)N1CCC(C1=O)NS(=O)(=O)CC)Cl,302.783,1.3846,66.48
MOSES 33,c1cc(C(N(C2CC2)C(C)C)=O)ccc1C(=O)NC(C#N)CCC,327.428,3.12168,73.2
MOSES 34,C(c1sc(CNC(=O)c2cc3sncc3cc2)cc1)C,302.424,3.8502,41.99
MOSES 35,c1(C(=O)NCc2ncccc2)n[nH]c(NC(=O)c2ccccc2)c1,321.34,1.987,99.77
MOSES 36,c1(c(-c2n(nc(c2)C(NC(C)c2ccccc2)=O)C)cccc1)OC,335.407,3.5867,56.15
MOSES 37,Cc1n[nH]cc1C(=O)NC1CCOc2ccccc21,257.293,1.97172,67.01
MOSES 38,CCOC(CC(C)CNC(N1C(C2CCCC2)CCC1)=O)=O,310.438,2.9399,58.64
MOSES 39,N1(C(COC2CCCC2)=O)CCN(CC1)Cc1cccc(c1)Cl,336.863,2.9434,32.78
MOSES 40,c1c(CCNCc2sc(C)nc2C)cc(cc1)F,264.369,3.23134,24.92
MOSES 41,C(c1c(cccc1)OCC)(=O)NCc1ccc(cc1)-n1cncn1,322.368,2.596,69.04
MOSES 42,C(NS(c1c(cc(F)cc1)F)(=O)=O)C1OCC2N(CCCC2)C1,346.399,1.4964,58.64
MOSES 43,C(c1ccc(cc1)Cl)C(CO)CNC(=O)CC(F)(F)F,309.715,2.5596,49.33
MOSES 44,c1ccn(c1)-c1oc(C)c(C(Nc2cc(OC)ccn2)=O)c1C#N,322.324,2.9063,93.08
MOSES 45,CC(=O)c1cc(NC(=O)c2ccccc2OC(C)C)c(F)cc1F,333.334,4.2069,55.4
MOSES 46,c12cc(Cl)cc(c1OCCO2)1c2nc[nH]c2nc(n1)N,,,
MOSES 47,c1cnc(C(c2cc(cc(c2)Cl)Cl)N)nc1C,268.147,3.13992,51.8
MOSES 48,Cn1cnc2c(N3CCCC(C(=O)NCC4CC4)C3)ncnc21,314.393,1.1059,75.94
