smiles,model_name,mol_idx
c1c(=O)n(CCNS(=O)(=O)C)nc(-c2ccc(F)cc2)c1,MOSES sample,76
c1c(C(=O)NC(C)c2c(Cl)ccc(c2Cl)F)c(n(C)nc1)=O,MOSES sample,77
C(Nc1cc2c(SCC(N2C)=O)cc1)(=O)c1cnc2[nH]nc(C)c2c1,MOSES sample,78
O1CCOCC1C(=O)NC(c1ncccc1)c1ccccc1OC,MOSES sample,79
c1(ccccc1)C(NC(Cn1c(csc1=O)C)=O)C(N)=O,MOSES sample,80
c1c(Cl)ccc(c1)C(CO)NC(=O)NCc1nc(ncc1)C,MOSES sample,81
CCOc1cccc(-c2nnn(-c3ccc(OC)cc3)c2N)c1,MOSES sample,82
S(c1ccccc1N1C(CCC1)=O)CCOc1cccc(c1)C#N,MOSES sample,83
c1(ccc(C)cc1C)C(O)CSc1nc(n[nH]1)CC,MOSES sample,84
c1(cc(S(=O)(N(c2ccccc2)CC(=O)NC)=O)ccc1)Cl,MOSES sample,85
N(C(=O)CSc1nccc(c1)C#N)c1ccccc1OC(F)F,MOSES sample,86
COc1ccc(cc1)C(=O)N(CC(OC)=O)CC,MOSES sample,87
c1(c(C2Cc3ccccc3C2)nc(nc1C)N)C(=O)NCC,MOSES sample,88
c1c2c(OCO2)cc(c1)OCC(=O)N1C(C2CC2)COCC1,MOSES sample,89
C1CC(=CCC1)CCNC(=O)Nc1cc2c([nH]c(=O)o2)cc1,MOSES sample,90
c1ccc(C(CNc2ccccc2)O)cc1C(F)(F)F,MOSES sample,91
O=C(Nc1ccc(cc1)S(N)(=O)=O)Cc1cn2ccsc2n1,MOSES sample,92
c12ccc(C(NCc3c(ccc(c3)Cl)OC)=O)nc2n(C)c(n1)N,MOSES sample,93
O=C(Cc1cccc(OC)c1)Nc1c(O)cc(C)cc1,MOSES sample,94
c1(ccc(Cl)cc1N)N1CCN(CC1)C(=O)C,MOSES sample,95
Cc1nn(Cc2cc(-c3cccs3)on2)c(C)c1CCO,MOSES sample,96
CCOCCNC(c1c(Cl)c2c(cccc2)[nH]1)=O,MOSES sample,97
C(C)(C(=O)NCC1CCN(C(c2cn(nn2)C)=O)CC1)C,MOSES sample,98
O=C(Nc1cc(C)on1)CN1c2c(OCC1=O)ccc(C(C)(C)C)c2,MOSES sample,99
C(C(C)N(C(c1cc(c(F)cc1)F)=O)C)C(C)C,MOSES sample,100
c12n(c(nn1)-c1cccc(NC(=O)C(OC)CC)c1)CCCCC2,MOSES sample,101
c1ccc(Cl)c(c1)C1OCCN(Cc2ccccn2)C1,MOSES sample,102
n1c(-c2occc2)onc1CS(=O)(=O)c1ccc(O)cc1,MOSES sample,103
C1(COC(c2c(ccs2)C)=O)OC(CC1)CC,MOSES sample,104
Cc1cc(C)n(Cc2ccc(C(=O)N3CCOCC3C3CC3)cc2)n1,MOSES sample,105
O=C(NCCc1cccc(F)c1)c1cc(-c2ccco2)on1,MOSES sample,106
O=S(=O)(c1cc(ccc1)O)CCc1ccc(cc1)Cl,MOSES sample,107
[nH]1cc(c2c1cccc2)CC(N(C)C(C)c1ccncc1)=O,MOSES sample,108
c1cc(C(NC2CCN(C2)CC(F)(F)F)=O)sc1C,MOSES sample,109
n1c(c(n2c1scc2)CN1CCN(Cc2onc(C)n2)CC1)C,MOSES sample,110
C1CC(C)(CC1)C(=O)NCc1c(noc1CC)CC,MOSES sample,111
c1c(NC(=O)N(Cc2c(occ2)C)C)ccc(-c2onc(n2)C)c1,MOSES sample,112
O(c1ccccc1C(C(C)NC(c1cnc2ccc(cn12)C)=O)O)C,MOSES sample,113
c1c(OCCNC(=O)c2c3c(onc3C)nc3CCCc23)cccc1,MOSES sample,114
C1Nc2ncccc2N(C(=O)COc2c(cccc2)F)C1,MOSES sample,115
c1(CC)ccc(C(Nc2ncccc2)C(=O)N)cc1,MOSES sample,116
Brc1ccc(nc1)Cn1cnc(n1)C#N,MOSES sample,117
CCNC(=O)NC1OC(CO)C(O)C(O)C1NC(C)=O,MOSES sample,118
CC1CN(CC(=O)N2CCC(C(N)=O)CC2)c2ccc(F)cc2N1,MOSES sample,119
c1cc2c(NCCS(=O)(=O)N)ncnc2s1,MOSES sample,120
CCOc1cc(C(=O)NC2CCCC2)ccc1OCC(N)=O,MOSES sample,121
Cc1cc(NC(=O)Cc2cc(Cl)c3c(c2)OCCCO3)no1,MOSES sample,122
N(CC(c1ccc(C#N)cc1)O)(C)Cc1scc(C(=O)N)c1,MOSES sample,123
c1(c(ccc(n1)N1CCCC1)N)Oc1c(C)nn(C)c1,MOSES sample,124
Cc1nn(C)c(C)c1CCC(=O)N1CCn2c(nnc2C(C)C)C1,MOSES sample,125
CCOC(=O)c1cccc2[nH]nc(-c3cccc(O)c3)c12,MOSES sample,126
c1c(cccc1C#N)NC(c1ccc(OC2CCC2)cc1Cl)=O,MOSES sample,127
CCC(C)Oc1ccc(NC(=O)Nc2ccncc2)cc1,MOSES sample,128
c1c(cc(c(c1)OCCCC)Br)C(=O)NCC(N)=O,MOSES sample,129
N(CC(=O)Nc1ccc(cc1)C(=O)NCc1ccccc1OC)C(=O)N,MOSES sample,130
N#Cc1cccc(NC(=O)Cc2ccc(F)c(F)c2)c1,MOSES sample,131
COc1ccc(CC(=O)N(C)Cc2ccsc2)c(OC)c1,MOSES sample,132
C(Sc1nc(c2c(CCC2)n1)C(F)(F)F)c1[nH]ccn1,MOSES sample,133
c1cccc(c1)OCC(NCc1cn(CC)nc1)=O,MOSES sample,134
Cn1nnc2c(=O)n(Cc3cccc(F)c3)cnc21,MOSES sample,135
C1CC(NC(c2ccc3OCCCn23(=O)=O)=O)(CCC1)C(=O)OC,MOSES sample,136
O=C(Nc1ccccc1-c1ccccc1)c1ccc(-n2cnnc2)cc1,MOSES sample,137
Cc1cccc(Nc2ncc(N)cc2Br)n1,MOSES sample,138
C(C(=O)NCc1[nH]ccn1)CCc1ccc(cc1)C,MOSES sample,139
CCOC(=O)c1csc(NC(=O)c2sc(C)cc2OC)n1,MOSES sample,140
Cc1cnn(CC(=O)Nc2ccc(C(=O)N3CCCCC3)c(Cl)c2)c1,MOSES sample,141
c1cc(C(=O)N2CCc3cc(F)ccc3C2)cc2CCC(Nc21)=O,MOSES sample,142
C(=C)CN(C)C(Nc1ccccc1Br)=O,MOSES sample,143
N(CC(=O)NC1CCN(CC1)S(C1CC1)(=O)=O)C(C(C)(C)C)=O,MOSES sample,144
c12c(cc(OC)cc2)C(CC(N1)=O)C(Nc1cc(C)c(C)cc1)=O,MOSES sample,145
C1CN(CC(C#N)N1)Cc1c(OCCC)n(C)nc1C,MOSES sample,146
COc1ccc(C(=O)N=c2[nH]nc3cc(C)ccn23)cc1,MOSES sample,147
c1(c(c(ncn1)-n1cncn1)N)Nc1c(ccc(c1)C)C,MOSES sample,148
n1c(sc2c1cccc2)CCCn1cnc2c(c1=O)cnn2C,MOSES sample,149
c1nc(C2OCCC2)sc1C(=O)NC(C(C)C)c1sccc1,MOSES sample,150
C(n1cc(ccc1=O)NC(N(C1CCCc2c1cccc2)C)=O)COC,MOSES sample,151
CCOC(=O)c1csc(-c2ccc(OCC)c(N)c2)n1,MOSES sample,152
C1CC(=O)N(C1)C(C(=O)NCC(=O)N)Cc1ccccc1,MOSES sample,153
Cc1ccc(-c2ccc(C(=O)N3CCc4ccccc4CC3)c(=O)[nH]2)cc1,MOSES sample,154
c1(c(-n2nc(c(C(NC(C)C(OCC)=O)=O)c2C)C)cc(C)cc1)C,MOSES sample,155
C(CC(NCCc1ccccc1F)=O)NC(Nc1ccccc1)=O,MOSES sample,156
O=C(c1ccc(F)c(Cl)c1)N1CCC(C(O)C)CC1,MOSES sample,157
S(=O)(N(CC)CC1CC1)(=O)c1ccc(N)cc1OC,MOSES sample,158
C(S(=O)(N1CCCC(C1)C(=O)N)=O)c1ccccc1,MOSES sample,159
N(c1ccc(OC)c(c1)OC)C(NC(CO)C)=O,MOSES sample,160
O=S(c1c(c(OC2CC2)cnc1)Br)(=O)N,MOSES sample,161
N(C)(C(=O)CCCc1nc(C)no1)C(c1ncccc1)c1ccccc1,MOSES sample,162
C(c1nn(C(C)C)c(c2ccccc12)=O)(=O)NCC(F)(F)F,MOSES sample,163
COc1cccc(CNC(=O)CNC(C)c2ccccc2)c1,MOSES sample,164
CC(C)n1cnnc1C1CCN(C(=O)C2CC(=O)c3ccccc32)CC1,MOSES sample,165
COc1ccc(CCNC(=O)C2(c3ccccc3)CCC2)cc1OC,MOSES sample,166
C(Nc1c2cc(ccc2ncc1)F)(NCc1cc(ccc1)C(N)=O)=O,MOSES sample,167
COc1ccc(Br)cc1NC(=O)C1CCCO1,MOSES sample,168
CCCNC(=O)Cn1ccc2ccc(NC(=O)c3ccsc3)cc21,MOSES sample,169
CC1COCC(C)N1Cc1cnc2ncccn12,MOSES sample,170
N(C(NCCC(C)C)=O)CCCN1C(CCCCC1)=O,MOSES sample,171
C(=O)(Nc1c(OC)ccc(c1)Br)CCCCO,MOSES sample,172
Cc1ccc(cc1CSc1n(c(N)nn1)C)C,MOSES sample,173
n1c(NCC(N2CCN(CC2)c2scc(n2)C)=O)cc(nc1)C,MOSES sample,174
CSc1nnc(SCC(=O)Nc2cc(C)nn2C)s1,MOSES sample,175
c1(ccc(C(OC(C)C)=O)c(N)n1)-c1ccc(C)cc1,MOSES sample,176
c1ccccc1-n1c(C(=O)N(C)c2cc(cc(C)c2)C)cnn1,MOSES sample,177
C(C(Nc1cccc(c1)Cl)=O)NC(c1ccncc1)C,MOSES sample,178
Cc1ccc(F)c(S(=O)(=O)N(C)c2cccc(O)c2)c1,MOSES sample,179
C1CC(CCC1C)NC(=O)C(C1CCCC1)NC(=O)C,MOSES sample,180
c12cc(C(=O)Nc3ccccc3)ccc1n(CC)nn2,MOSES sample,181
c1(C(=O)Nc2nc(c(s2)-c2ccccc2)C)n(C)cc(c1)C(N)=O,MOSES sample,182
c1([nH]c2ccccc2n1)CCC(=O)NCC(O)Cc1ccccc1,MOSES sample,183
c1c(cccc1NC(=O)Cn1ccc(=O)[nH]c1=O)C(=O)NC1CC1,MOSES sample,184
c1c(SC)cc(NC(=O)C2CC=CCC2)cc1,MOSES sample,185
C(Oc1c(OC)cccc1)C(=O)N(CCO)C(C)C,MOSES sample,186
COc1c(cc(NC(=O)NCc2cn(cc2)C)cc1)Cl,MOSES sample,187
C(c1ccc(OCC(=O)C(C)(C)C)cc1)(NC(C)(C(OC)=O)C)=O,MOSES sample,188
O(CC(F)F)c1nc(ccc1)C(Nc1sc(C)c(CC)n1)=O,MOSES sample,189
C1(C(Nc2ncnc(N3CCC(CC3)C)c2)C)CCCO1,MOSES sample,190
Cc1nc2ccccc2nc1-c1ccc(N)cc1C#N,MOSES sample,191
C(C(CO)Cc1cccc(Br)c1)(OC)=O,MOSES sample,192
N#CCc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,MOSES sample,193
C1CCN(C1(C#N)c1ccc(OC)cc1)C(=O)c1ccccc1F,MOSES sample,194
C1(CC=CCC1C(OC)=O)C(=O)N1CCCCC1C(N)=O,MOSES sample,195
c1c(NC(Cc2ccsc2)=O)cc2occc2c1,MOSES sample,196
Nc1nc(-c2sccc2)ncc1C(NC1CCCC1)=O,MOSES sample,197
Cc1sc(=O)n(CC(=O)NCC2(c3ccc(F)cc3F)CC2)c1C,MOSES sample,198
C1CCCN(C1)C(=O)CSc1nnnn1-c1cc(C)c(C)cc1,MOSES sample,199
COc1c(C)cc(Cl)cc1COC(=O)C1NCCC1,MOSES sample,200
N1(CCN(CC1)Cc1scnc1)CC(NC1CCCCC1)=O,MOSES sample,201
c1c(S(N)(=O)=O)c(OC2CC2)cc(S(N)(=O)=O)c1,MOSES sample,202
c1(ccccc1)C(NC(c1ccco1)C)C(NCCC)=O,MOSES sample,203
c1(OC)c(c(OC)cc(c1)OC)C(=O)N(CC)Cc1ccncc1,MOSES sample,204
C(Nc1c(NC(=O)C)ccc(C)c1)(=O)Nc1cc(ccc1)SC,MOSES sample,205
O(CC(=O)NC(C)c1ccc(C)cc1)c1ccccc1NC(=O)C,MOSES sample,206
c1c2c(cc(NC(NCCC)=O)c1)sc(C(C)C)n2,MOSES sample,207
C1N(C(COC)=O)CCN(C(=O)c2ccc3CCCCc3c2)C1,MOSES sample,208
c1cc2c(n(C)c(=O)n2-c2ccc(C)c(c2)N)cc1,MOSES sample,209
s1c(Cc2c(cccc2)OCC)c(nc1N)CC,MOSES sample,210
c1c(cccc1)Cn1c(=O)c(ccc1)NC(=O)NCCCO,MOSES sample,211
c1(S(=O)(CC(NCc2ccccn2)=O)=O)ccc(cc1)C(C)C,MOSES sample,212
c1c(cccc1NCCC(c1ccc(cc1)Cl)=O)C#N,MOSES sample,213
N(c1ccc(cc1)Cl)C(=O)NCc1ncn(n1)C,MOSES sample,214
c1(C)nc(cc(n1)NC(C)c1cn(nc1)C(C)C)N1CCOCC1,MOSES sample,215
C(=O)(N1CC(O)CCC1)NCC1(CCOCC1)c1c(cccc1)C,MOSES sample,216
o1nc(C)c(C(C)C(Nc2cc(ccn2)OC)=O)c1C,MOSES sample,217
c1(C#C)cc(NCC(Nc2ccc(S(N)(=O)=O)cc2)=O)ccc1,MOSES sample,218
O=C(NCc1cc(Cl)c(cc1)Cl)NC(CCCO)C,MOSES sample,219
N(C(c1c(Cl)ccc(S(N(C)C)(=O)=O)c1)=O)C1CCCCC1,MOSES sample,220
N(C(=O)c1sc(cc1)C1OCCC1)(C)CCC(C)C,MOSES sample,221
COc1ccc(OCC(=O)NC2(C#N)CCCCC2)cc1,MOSES sample,222
C1C(C(OCC)=O)CCN(C1)C(=O)c1c(n2ccccc2nc1)=O,MOSES sample,223
C(NCc1ccc(cc1)NC(NC(C)C)=O)(=O)N1CC(CCC1)CO,MOSES sample,224
Cc1sc2c(-c3nnc(-c4cccs4)o3)c[nH]c2c1,MOSES sample,225
C(CSc1nnc2ccccn12)(OC(c1ccccc1)C)=O,MOSES sample,226
c12c(cc(=O)oc1cc(Oc1ccc(C)cc1)cc2)CC(NC)=O,MOSES sample,227
c1(cccc(CNC2(C(=O)OC)CCC2)c1)NC(C)C,MOSES sample,228
c1(c(cccc1)-n1cncc1)NC(=O)c1cc(ccc1)Cl,MOSES sample,229
c1(ccc(C(C)C)cc1)C(C1CN(C(C1)=O)CCOC)O,MOSES sample,230
CCS(=O)(=O)N(C)Cc1nnc(-c2cccc(C)c2)o1,MOSES sample,231
O=C(Nc1ccc(CN2CCOCC2)cn1)c1ccc(Cl)cc1F,MOSES sample,232
c1c(ccc(c1)NC(CCc1csc(-c2ccccn2)n1)=O)F,MOSES sample,233
C(OC)c1c(cccc1)NC(NCc1sccc1C)=O,MOSES sample,234
C(C(CC)NC(NCCNC(c1ccc(cc1)F)=O)=O)O,MOSES sample,235
c1c(cc(C(=O)C(C)Oc2cc(N)ccc2)cc1)OC,MOSES sample,236
C1(CCCC1)NC(=O)CCn1nc(C)c2ccccc2c1=O,MOSES sample,237
C#CCCOC(=O)C1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,MOSES sample,238
n1c([nH]c(c(CC(N2CCN(Cc3ccccc3)CC2)=O)c1C)=O)C,MOSES sample,239
COc1cc2c(cc1OCF)C(C1CCCO1)NCC2,MOSES sample,240
c1ccc(C(NC(CCC(F)(F)F)=O)C)cc1Cl,MOSES sample,241
N1(Cc2ccc(n(c2)C)=O)CCOC2C(CCC12)OCC,MOSES sample,242
C1(CCCCC1)CN(C(CNC(c1cc(c(F)cc1)F)=O)=O)C,MOSES sample,243
COc1nc(OC)nc(C(=O)Nc2cccc(Cl)c2Cl)n1,MOSES sample,244
CC(c1nc(c[nH]1)-c1nc(-c2ccc[nH]c2=O)no1)C,MOSES sample,245
C1N(C(=O)c2sc(C)nc2)CCC21CCCN(C2=O)CCOC,MOSES sample,246
CC(O)CN1CCN(c2ccc(C(F)(F)F)cn2)CC1C,MOSES sample,247
c1c(COC)ccc(C(NC(CO)(C)C)=O)c1F,MOSES sample,248
C(C)C(C(O)CNc1c2c(nc(C)n1)n(nc2)C)CC,MOSES sample,249
COc1ccc(-n2cc(Br)c(C)n2)cc1,MOSES sample,250
c1cc(cc(c1)-c1c(NC(=O)c2ccccc2)c2c(nccc2)o1)OC,MOSES sample,251
c1cc(ccc1C(NC(c1ccccc1)(CO)C)=O)N(C)C,MOSES sample,252
O=S(=O)(NCC(c1ccco1)O)c1ccc2CCCc2c1,MOSES sample,253
O=C(Nc1cccc(N2CCCS2(=O)=O)c1)c1ccc(F)cc1,MOSES sample,254
c1cc2c(C(C(OC)=O)CCN2C(CC=Cc2ccccc2)=O)cc1,MOSES sample,255
c1c(OC(F)(F)F)c2c(cc1)CCNC2c1ccc(nc1)C,MOSES sample,256
CC(C)(C)C(=O)NCCn1ccc(-c2ccncc2)n1,MOSES sample,257
N1(CC2CCN(CCC2(O)C1)C(=O)c1cnccn1)c1ncccn1,MOSES sample,258
CCCNC(CNC(CNC(=O)C1CCCC1)=O)=O,MOSES sample,259
CCc1ccc(N2CC(C(=O)Nc3ccccc3)CC2=O)cc1,MOSES sample,260
Cc1ccc(N2CCC(NC(=O)c3cccn(C)c3=O)C2=O)cc1C,MOSES sample,261
c1(c(=O)c2ccc(cc2[nH]c1)F)S(=O)(=O)c1ccc(C)cc1,MOSES sample,262
Cc1c(CNCCc2c(cccc2)F)c(n(n1)C)C,MOSES sample,263
c1cccc2C(C(N3CCCCC3)=O)CNCc21s,MOSES sample,264
CN(CC1CCCCC1)C(=O)c1ccn(C(F)F)n1,MOSES sample,265
Cc1nn(CCO)c(c1CNCC1OCCc2c1cccc2)C,MOSES sample,266
c1c(ccc(OC)c1)Sc1nccnc1C1CCN(CC1)C(=O)C,MOSES sample,267
O=C(Cn1cc(N)cn1)Nc1c(Br)cc(cc1)F,MOSES sample,268
CCOc1cc(C)ccc1NC(=O)NCc1ccco1,MOSES sample,269
c1c(nc2n(c1=O)C(CC(NCCCOCC)=O)CS2)C,MOSES sample,270
CCOc1ccccc1NS(=O)(=O)c1ccc(CO)cc1,MOSES sample,271
Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)NC(=O)C(C)O3)c(C)c1,MOSES sample,272
c12nnn(c1ccc(C2)C(=O)Nc1onc(-c2cscc2)c1)CC,MOSES sample,273
C1COCCC1(CNS(CC)(=O)=O)c1cccc(c1)F,MOSES sample,274
C(Cn1c(cccc1)=O)(NCc1cc(ccc1)-c1ccc(OC)cc1)=O,MOSES sample,275
C(=O)(c1c(C)c2c(ccc(c2)O)oc1=O)NCc1ccncc1,MOSES sample,276
c1(ccc(CCC(=O)N2CC(CC2C(OC)=O)O)cc1)C(N)=O,MOSES sample,277
CNC(=O)C1CN(C(=O)c2cccc(Cl)c2Cl)CCO1,MOSES sample,278
C(N1CCN(S(=O)(=O)c2ccccc2)CC1)C(C)O,MOSES sample,279
COc1cccc(CNc2cc(OC)ccc2F)c1,MOSES sample,280
C(Nc1c(cccc1C)C(C)C)(=O)CSc1c(=O)[nH]c(=O)[nH]n1,MOSES sample,281
c12cccc(c2ccnc1C#N)CN1CC(OCC1)CCOC,MOSES sample,282
CC(C)(C)OC(N1C(COc2c(cccc12)N)=O)=O,MOSES sample,283
O=C(N(c1c(OC)cc(OC)cc1)CCO)C1CC1,MOSES sample,284
O=S(=O)(c1cn[nH]c1)N1CCCC1c1ccco1,MOSES sample,285
Cc1cc(C(C)NC(=O)C2CCCOC2)c(C)s1,MOSES sample,286
c1c(F)cccc1S(=O)(NCCNC(c1ccccc1)=O)=O,MOSES sample,287
c1(-c2ccc3[nH]c(cc3c2)C)onc(n1)C(C)(C)OC,MOSES sample,288
c12ccccc1n(CC(NC(=O)CCC(C)C)C(NC(C)C)=O)cn2,MOSES sample,289
Cc1ccccc1NC(=O)C1CC(=O)n2cnnc2N1,MOSES sample,290
Cc1n[nH]c(C)c1CCNC(=O)c1ccc2ccc(Cl)cc2n1,MOSES sample,291
O=C(c1cnc2c(c1)CCCC2)N1CCCC(c2nncn2C2CC2)C1,MOSES sample,292
o1c(=O)c(COC(c2sc(nc2C)C)=O)cc2ccccc12,MOSES sample,293
c1cc(cc(c1)Oc1ccccc1)-n1nc(cc1N)C,MOSES sample,294
c1(-c2onc(n2)-c2cccc(OC)c2OC)c(C)nn(C)c1,MOSES sample,295
C1Oc2cc3nc(n(CC(C)C#N)c3cc2O1)C(C)C,MOSES sample,296
CSc1ccccc1NC(=O)c1[nH]ncc1Br,MOSES sample,297
O=C(Nc1c(ccc(c1)C)C)NCCC(=O)N(C)C,MOSES sample,298
c1(c(c(c(Br)c(c1C)NC(=O)C)C)C)C(=O)OC,MOSES sample,299
