smiles,model_name,mol_idx,descriptor:MW,descriptor:nHeavyAtom,descriptor:TopoPSA,descriptor:SLogP,descriptor:nRot,descriptor:nRing
C(Nc1cc(S(N)(=O)=O)ccc1C)(=O)C(C)Sc1ccccc1,MOSES sample,30,350.465,23,89.26,2.76172,5,2
CN1C=C(c2[nH]ncc2-c2ccccc2)C(C)(C)C1C(N)=O,MOSES sample,31,296.374,22,75.01,2.2431,3,3
c1cc(c(cc1)N1CCC(C1=O)NS(=O)(=O)CC)Cl,MOSES sample,32,302.783,19,66.48,1.3846,4,2
c1cc(C(N(C2CC2)C(C)C)=O)ccc1C(=O)NC(C#N)CCC,MOSES sample,33,327.428,24,73.2,3.12168,7,2
C(c1sc(CNC(=O)c2cc3sncc3cc2)cc1)C,MOSES sample,34,302.424,20,41.99,3.8502,4,3
c1(C(=O)NCc2ncccc2)n[nH]c(NC(=O)c2ccccc2)c1,MOSES sample,35,321.34,24,99.77,1.987,5,3
c1(c(-c2n(nc(c2)C(NC(C)c2ccccc2)=O)C)cccc1)OC,MOSES sample,36,335.407,25,56.15,3.5867,5,3
Cc1n[nH]cc1C(=O)NC1CCOc2ccccc21,MOSES sample,37,257.293,19,67.01,1.97172,2,3
CCOC(CC(C)CNC(N1C(C2CCCC2)CCC1)=O)=O,MOSES sample,38,310.438,22,58.64,2.9399,6,2
N1(C(COC2CCCC2)=O)CCN(CC1)Cc1cccc(c1)Cl,MOSES sample,39,336.863,23,32.78,2.9434,5,3
c1c(CCNCc2sc(C)nc2C)cc(cc1)F,MOSES sample,40,264.369,18,24.92,3.23134,5,2
C(c1c(cccc1)OCC)(=O)NCc1ccc(cc1)-n1cncn1,MOSES sample,41,322.368,24,69.04,2.596,6,3
C(NS(c1c(cc(F)cc1)F)(=O)=O)C1OCC2N(CCCC2)C1,MOSES sample,42,346.399,23,58.64,1.4964,4,3
C(c1ccc(cc1)Cl)C(CO)CNC(=O)CC(F)(F)F,MOSES sample,43,309.715,20,49.33,2.5596,6,1
c1ccn(c1)-c1oc(C)c(C(Nc2cc(OC)ccn2)=O)c1C#N,MOSES sample,44,322.324,24,93.08,2.9063,4,3
CC(=O)c1cc(NC(=O)c2ccccc2OC(C)C)c(F)cc1F,MOSES sample,45,333.334,24,55.4,4.2069,5,2
c12cc(Cl)cc(c1OCCO2)1c2nc[nH]c2nc(n1)N,MOSES sample,46,,,,,,
c1cnc(C(c2cc(cc(c2)Cl)Cl)N)nc1C,MOSES sample,47,268.147,17,51.8,3.13992,2,2
Cn1cnc2c(N3CCCC(C(=O)NCC4CC4)C3)ncnc21,MOSES sample,48,314.393,23,75.94,1.1059,4,4
c1(c(-c2n(C)c(SCC(c3cn(nc3)C)=O)nn2)cccc1)Cl,MOSES sample,49,347.831,23,65.6,2.844,5,3
c1(=O)c(-c2ccc(Cl)cc2)c[nH]c2c(cncc12)Cl,MOSES sample,50,291.137,19,45.75,3.8969,1,3
O=C(C(NC(=O)N)C)N(C(c1ccco1)C)Cc1ccccc1,MOSES sample,51,315.373,23,88.57,2.4262,6,2
c1(C2CC2)nc2onc(c2c(C(Nc2cc3OCCc3cc2)=O)c1)CC,MOSES sample,52,349.39,26,77.25,3.8498,4,5
C(C)Oc1c(-n2c(SC(C)C(=O)C)nnn2)ccc(c1)C,MOSES sample,53,306.391,21,69.9,2.43902,6,2
C(N(C(C(Oc1ccc(cc1)F)C)=O)C(C)C)C(=O)N,MOSES sample,54,282.315,20,72.63,1.3153,6,1
C(C(=O)NC(C)C)n1c(c2ccccc2nc1C1CC1)=O,MOSES sample,55,285.347,21,63.99,1.7985,4,3
COC(NCC(Nc1cn(nc1)-c1c(cccc1)F)=O)=O,MOSES sample,56,292.27,21,85.25,1.3059,4,2
c1(ccsc1C(=O)NC(C(C)(C)C)C#N)-n1cnnn1,MOSES sample,57,290.352,20,96.49,1.39188,3,2
CCC(C)OC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1,MOSES sample,58,327.402,22,72.91,1.6628,5,2
CC(NC(=O)c1csnn1)c1ccc2c(c1)OCCCO2,MOSES sample,59,305.359,21,73.34,2.1904,3,3
N(C(c1c(ccc(C)c1)C)=O)c1sc(c(c1C(N)=O)C)C,MOSES sample,60,302.399,21,72.19,3.33298,3,2
COc1ccc(Nc2cc(=O)nc3ccnn23)c(OC)c1,MOSES sample,61,,,,,,
c1(CCN(C)C(=O)Cc2c(C)noc2C)ccc(OC)cc1,MOSES sample,62,302.374,22,55.57,2.54364,6,2
c1cc(NC(COc2ccccc2)=O)ccc1C(N)=O,MOSES sample,63,270.288,20,81.42,1.803,5,2
COc1ccc(NC(=O)CCC2CCCC2)cc1-n1cnnn1,MOSES sample,64,315.377,23,81.93,2.5798,6,3
c12sc(c(c1c(=O)n(cn2)Cc1ccccc1)C)C,MOSES sample,65,270.357,19,34.89,3.12314,2,3
C1N(CCN(C1)C(NCC)=O)c1ccccc1C#N,MOSES sample,66,258.325,19,59.37,1.40978,2,2
N#Cc1ccc(Cl)cc1NC(CO)c1ccccc1,MOSES sample,67,272.735,19,56.05,3.35718,4,2
O(c1cccc(C)c1)CCC(=O)Nc1noc(c1)C,MOSES sample,68,260.293,19,64.36,2.69904,5,2
C1CC1c1n(-c2cccnc2)ncc1C(=O)N1C(CCCC1)C(C)C,MOSES sample,69,338.455,25,51.02,3.7954,4,4
c1c(ccc(OC(C)C(OCC(N)=O)=O)c1C)C,MOSES sample,70,251.282,18,78.62,1.09924,5,1
COCC(=O)NCC(Nc1cccc(c1)N1CCCCC1)=O,MOSES sample,71,305.378,22,70.67,1.378,6,2
s1c(C)c(C)c2c1nc(nc2SCC(OC)=O)C,MOSES sample,72,282.39,18,52.08,2.88166,3,2
n1(cnc2ccccc21)CCCNc1nc(-c2c(cccc2)O)ncc1,MOSES sample,73,345.406,26,75.86,3.7011,6,4
c1(NS(c2ccc(C)cc2)(=O)=O)noc(c1)C,MOSES sample,74,252.295,17,72.2,2.09224,3,2
C=CCn1nc2ccc(S(=O)(=O)N3CCC(C)CC3)cn2c1=O,MOSES sample,75,336.417,23,76.68,1.1026,4,3
c1c(=O)n(CCNS(=O)(=O)C)nc(-c2ccc(F)cc2)c1,MOSES sample,76,311.338,21,81.06,0.5986,5,2
c1c(C(=O)NC(C)c2c(Cl)ccc(c2Cl)F)c(n(C)nc1)=O,MOSES sample,77,344.173,22,63.99,2.7172,3,2
C(Nc1cc2c(SCC(N2C)=O)cc1)(=O)c1cnc2[nH]nc(C)c2c1,MOSES sample,78,353.407,25,90.98,2.58712,2,4
O1CCOCC1C(=O)NC(c1ncccc1)c1ccccc1OC,MOSES sample,79,328.368,24,69.68,1.7112,5,3
c1(ccccc1)C(NC(Cn1c(csc1=O)C)=O)C(N)=O,MOSES sample,80,305.359,21,94.19,0.56102,5,2
c1c(Cl)ccc(c1)C(CO)NC(=O)NCc1nc(ncc1)C,MOSES sample,81,320.78,22,87.14,1.97122,5,2
CCOc1cccc(-c2nnn(-c3ccc(OC)cc3)c2N)c1,MOSES sample,82,310.357,23,75.19,2.9238,5,3
S(c1ccccc1N1C(CCC1)=O)CCOc1cccc(c1)C#N,MOSES sample,83,338.432,24,53.33,3.85618,6,3
c1(ccc(C)cc1C)C(O)CSc1nc(n[nH]1)CC,MOSES sample,84,277.393,19,61.8,2.80964,5,2
c1(cc(S(=O)(N(c2ccccc2)CC(=O)NC)=O)ccc1)Cl,MOSES sample,85,338.816,22,66.48,2.2813,5,2
N(C(=O)CSc1nccc(c1)C#N)c1ccccc1OC(F)F,MOSES sample,86,335.335,23,75.01,3.28548,6,2
COc1ccc(cc1)C(=O)N(CC(OC)=O)CC,MOSES sample,87,251.282,18,55.84,1.3303,5,1
c1(c(C2Cc3ccccc3C2)nc(nc1C)N)C(=O)NCC,MOSES sample,88,296.374,22,80.9,1.99932,3,3
c1c2c(OCO2)cc(c1)OCC(=O)N1C(C2CC2)COCC1,MOSES sample,89,305.33,22,57.23,1.4315,4,4
C1CC(=CCC1)CCNC(=O)Nc1cc2c([nH]c(=O)o2)cc1,MOSES sample,90,301.346,22,87.13,3.1331,4,3
c1ccc(C(CNc2ccccc2)O)cc1C(F)(F)F,MOSES sample,91,281.277,20,32.26,3.8509,4,2
O=C(Nc1ccc(cc1)S(N)(=O)=O)Cc1cn2ccsc2n1,MOSES sample,92,336.398,22,106.56,1.2244,4,3
c12ccc(C(NCc3c(ccc(c3)Cl)OC)=O)nc2n(C)c(n1)N,MOSES sample,93,345.79,24,95.06,2.1425,4,3
O=C(Cc1cccc(OC)c1)Nc1c(O)cc(C)cc1,MOSES sample,94,271.316,20,58.56,2.89042,4,2
c1(ccc(Cl)cc1N)N1CCN(CC1)C(=O)C,MOSES sample,95,253.733,17,49.57,1.5907,1,2
Cc1nn(Cc2cc(-c3cccs3)on2)c(C)c1CCO,MOSES sample,96,303.387,21,64.08,2.79954,5,3
CCOCCNC(c1c(Cl)c2c(cccc2)[nH]1)=O,MOSES sample,97,266.728,18,54.12,2.5876,5,2
C(C)(C(=O)NCC1CCN(C(c2cn(nn2)C)=O)CC1)C,MOSES sample,98,293.371,21,80.12,0.4395,4,2
O=C(Nc1cc(C)on1)CN1c2c(OCC1=O)ccc(C(C)(C)C)c2,MOSES sample,99,343.383,25,84.67,2.64462,3,3
C(C(C)N(C(c1cc(c(F)cc1)F)=O)C)C(C)C,MOSES sample,100,255.308,18,20.31,3.4714,4,1
c12n(c(nn1)-c1cccc(NC(=O)C(OC)CC)c1)CCCCC2,MOSES sample,101,328.416,24,69.04,3.035,5,3
c1ccc(Cl)c(c1)C1OCCN(Cc2ccccn2)C1,MOSES sample,102,288.778,20,25.36,3.3085,3,3
n1c(-c2occc2)onc1CS(=O)(=O)c1ccc(O)cc1,MOSES sample,103,306.299,21,106.43,2.0091,4,3
C1(COC(c2c(ccs2)C)=O)OC(CC1)CC,MOSES sample,104,254.351,17,35.53,3.17092,4,2
Cc1cc(C)n(Cc2ccc(C(=O)N3CCOCC3C3CC3)cc2)n1,MOSES sample,105,339.439,25,47.36,2.79924,4,4
O=C(NCCc1cccc(F)c1)c1cc(-c2ccco2)on1,MOSES sample,106,300.289,22,68.27,3.0462,5,3
O=S(=O)(c1cc(ccc1)O)CCc1ccc(cc1)Cl,MOSES sample,107,296.775,19,54.37,3.062,4,2
[nH]1cc(c2c1cccc2)CC(N(C)C(C)c1ccncc1)=O,MOSES sample,108,293.37,22,48.99,3.325,4,3
c1cc(C(NC2CCN(C2)CC(F)(F)F)=O)sc1C,MOSES sample,109,292.326,19,32.34,2.42292,3,2
n1c(c(n2c1scc2)CN1CCN(Cc2onc(C)n2)CC1)C,MOSES sample,110,332.433,23,62.7,1.71344,4,4
C1CC(C)(CC1)C(=O)NCc1c(noc1CC)CC,MOSES sample,111,264.369,19,55.13,2.9959,5,2
c1c(NC(=O)N(Cc2c(occ2)C)C)ccc(-c2onc(n2)C)c1,MOSES sample,112,326.356,24,84.4,3.61034,4,3
O(c1ccccc1C(C(C)NC(c1cnc2ccc(cn12)C)=O)O)C,MOSES sample,113,339.395,25,75.86,2.50322,5,3
c1c(OCCNC(=O)c2c3c(onc3C)nc3CCCc23)cccc1,MOSES sample,114,337.379,25,77.25,2.82872,5,4
C1Nc2ncccc2N(C(=O)COc2c(cccc2)F)C1,MOSES sample,115,287.294,21,54.46,2.0582,3,3
c1(CC)ccc(C(Nc2ncccc2)C(=O)N)cc1,MOSES sample,116,255.321,19,68.01,2.2825,5,2
Brc1ccc(nc1)Cn1cnc(n1)C#N,MOSES sample,117,264.086,15,67.39,1.35558,2,2
CCNC(=O)NC1OC(CO)C(O)C(O)C1NC(C)=O,MOSES sample,118,291.304,20,140.15,-2.7508,4,1
CC1CN(CC(=O)N2CCC(C(N)=O)CC2)c2ccc(F)cc2N1,MOSES sample,119,334.395,24,78.67,1.17,3,3
c1cc2c(NCCS(=O)(=O)N)ncnc2s1,MOSES sample,120,258.328,16,97.97,0.3917,4,2
CCOc1cc(C(=O)NC2CCCC2)ccc1OCC(N)=O,MOSES sample,121,306.362,22,90.65,1.6218,7,2
Cc1cc(NC(=O)Cc2cc(Cl)c3c(c2)OCCCO3)no1,MOSES sample,122,322.748,22,73.59,2.97892,3,3
N(CC(c1ccc(C#N)cc1)O)(C)Cc1scc(C(=O)N)c1,MOSES sample,123,315.398,22,90.35,1.88408,6,2
c1(c(ccc(n1)N1CCCC1)N)Oc1c(C)nn(C)c1,MOSES sample,124,273.34,20,69.2,2.09822,3,3
Cc1nn(C)c(C)c1CCC(=O)N1CCn2c(nnc2C(C)C)C1,MOSES sample,125,330.436,24,68.84,1.72684,4,3
CCOC(=O)c1cccc2[nH]nc(-c3cccc(O)c3)c12,MOSES sample,126,282.299,21,75.21,3.1122,3,3
c1c(cccc1C#N)NC(c1ccc(OC2CCC2)cc1Cl)=O,MOSES sample,127,326.783,23,62.12,4.39528,4,3
CCC(C)Oc1ccc(NC(=O)Nc2ccncc2)cc1,MOSES sample,128,285.347,21,63.25,3.9029,5,2
c1c(cc(c(c1)OCCCC)Br)C(=O)NCC(N)=O,MOSES sample,129,329.194,19,81.42,1.8431,7,1
N(CC(=O)Nc1ccc(cc1)C(=O)NCc1ccccc1OC)C(=O)N,MOSES sample,130,356.382,26,122.55,1.232,7,2
N#Cc1cccc(NC(=O)Cc2ccc(F)c(F)c2)c1,MOSES sample,131,272.254,20,52.89,3.01768,3,2
COc1ccc(CC(=O)N(C)Cc2ccsc2)c(OC)c1,MOSES sample,132,305.399,21,38.77,2.9664,6,2
C(Sc1nc(c2c(CCC2)n1)C(F)(F)F)c1[nH]ccn1,MOSES sample,133,300.309,20,54.46,2.9995,3,3
c1cccc(c1)OCC(NCc1cn(CC)nc1)=O,MOSES sample,134,259.309,19,56.15,1.5982,6,2
Cn1nnc2c(=O)n(Cc3cccc(F)c3)cnc21,MOSES sample,135,259.244,19,65.6,0.7124,2,3
C1CC(NC(c2ccc3OCCCn23(=O)=O)=O)(CCC1)C(=O)OC,MOSES sample,136,,,,,,
O=C(Nc1ccccc1-c1ccccc1)c1ccc(-n2cnnc2)cc1,MOSES sample,137,340.386,26,59.81,4.1866,4,4
Cc1cccc(Nc2ncc(N)cc2Br)n1,MOSES sample,138,279.141,16,63.83,2.87332,2,2
C(C(=O)NCc1[nH]ccn1)CCc1ccc(cc1)C,MOSES sample,139,257.337,19,57.78,2.35722,6,2
CCOC(=O)c1csc(NC(=O)c2sc(C)cc2OC)n1,MOSES sample,140,326.399,21,77.52,2.95062,5,2
Cc1cnn(CC(=O)Nc2ccc(C(=O)N3CCCCC3)c(Cl)c2)c1,MOSES sample,141,360.845,25,67.23,3.10972,4,3
c1cc(C(=O)N2CCc3cc(F)ccc3C2)cc2CCC(Nc21)=O,MOSES sample,142,324.355,24,49.41,2.9089,1,4
C(=C)CN(C)C(Nc1ccccc1Br)=O,MOSES sample,143,269.142,15,32.34,3.0988,3,1
N(CC(=O)NC1CCN(CC1)S(C1CC1)(=O)=O)C(C(C)(C)C)=O,MOSES sample,144,345.465,23,95.58,0.2215,5,2
c12c(cc(OC)cc2)C(CC(N1)=O)C(Nc1cc(C)c(C)cc1)=O,MOSES sample,145,324.38,24,67.43,3.37654,3,3
C1CN(CC(C#N)N1)Cc1c(OCCC)n(C)nc1C,MOSES sample,146,277.372,20,66.11,0.8147,5,2
COc1ccc(C(=O)N=c2[nH]nc3cc(C)ccn23)cc1,MOSES sample,147,282.303,21,71.75,1.72052,2,3
c1(c(c(ncn1)-n1cncn1)N)Nc1c(ccc(c1)C)C,MOSES sample,148,281.323,21,94.54,1.99994,3,3
n1c(sc2c1cccc2)CCCn1cnc2c(c1=O)cnn2C,MOSES sample,149,325.397,23,65.6,2.3725,4,4
c1nc(C2OCCC2)sc1C(=O)NC(C(C)C)c1sccc1,MOSES sample,150,336.482,22,51.22,4.1832,5,3
C(n1cc(ccc1=O)NC(N(C1CCCc2c1cccc2)C)=O)COC,MOSES sample,151,355.438,26,63.57,3.036,5,3
CCOC(=O)c1csc(-c2ccc(OCC)c(N)c2)n1,MOSES sample,152,292.36,20,74.44,2.9677,5,2
C1CC(=O)N(C1)C(C(=O)NCC(=O)N)Cc1ccccc1,MOSES sample,153,289.335,21,92.5,-0.1784,6,2
Cc1ccc(-c2ccc(C(=O)N3CCc4ccccc4CC3)c(=O)[nH]2)cc1,MOSES sample,154,358.441,27,53.17,3.59132,2,4
c1(c(-n2nc(c(C(NC(C)C(OCC)=O)=O)c2C)C)cc(C)cc1)C,MOSES sample,155,343.427,25,73.22,2.78738,5,2
C(CC(NCCc1ccccc1F)=O)NC(Nc1ccccc1)=O,MOSES sample,156,329.375,24,70.23,2.6962,7,2
O=C(c1ccc(F)c(Cl)c1)N1CCC(C(O)C)CC1,MOSES sample,157,285.746,19,40.54,2.7121,2,2
S(=O)(N(CC)CC1CC1)(=O)c1ccc(N)cc1OC,MOSES sample,158,284.381,19,72.63,1.698,6,2
C(S(=O)(N1CCCC(C1)C(=O)N)=O)c1ccccc1,MOSES sample,159,282.365,19,80.47,0.7137,4,2
N(c1ccc(OC)c(c1)OC)C(NC(CO)C)=O,MOSES sample,160,254.286,18,79.82,1.2061,5,1
O=S(c1c(c(OC2CC2)cnc1)Br)(=O)N,MOSES sample,161,293.142,15,82.28,1.0327,3,2
N(C)(C(=O)CCCc1nc(C)no1)C(c1ncccc1)c1ccccc1,MOSES sample,162,350.422,26,72.12,3.34372,7,3
C(c1nn(C(C)C)c(c2ccccc12)=O)(=O)NCC(F)(F)F,MOSES sample,163,313.279,22,63.99,2.2695,3,2
COc1cccc(CNC(=O)CNC(C)c2ccccc2)c1,MOSES sample,164,298.386,22,50.36,2.6622,7,2
CC(C)n1cnnc1C1CCN(C(=O)C2CC(=O)c3ccccc32)CC1,MOSES sample,165,352.438,26,68.09,2.9352,3,4
COc1ccc(CCNC(=O)C2(c3ccccc3)CCC2)cc1OC,MOSES sample,166,339.435,25,47.56,3.4844,7,3
C(Nc1c2cc(ccc2ncc1)F)(NCc1cc(ccc1)C(N)=O)=O,MOSES sample,167,338.342,25,97.11,2.7945,4,3
COc1ccc(Br)cc1NC(=O)C1CCCO1,MOSES sample,168,300.152,17,47.56,2.5752,3,2
CCCNC(=O)Cn1ccc2ccc(NC(=O)c3ccsc3)cc21,MOSES sample,169,341.436,24,63.13,3.4813,6,3
CC1COCC(C)N1Cc1cnc2ncccn12,MOSES sample,170,246.314,18,42.66,1.3385,2,3
N(C(NCCC(C)C)=O)CCCN1C(CCCCC1)=O,MOSES sample,171,283.416,20,61.44,2.1244,7,1
C(=O)(Nc1c(OC)ccc(c1)Br)CCCCO,MOSES sample,172,302.168,17,58.56,2.5588,6,1
Cc1ccc(cc1CSc1n(c(N)nn1)C)C,MOSES sample,173,248.355,17,56.73,2.30644,3,2
n1c(NCC(N2CCN(CC2)c2scc(n2)C)=O)cc(nc1)C,MOSES sample,174,332.433,23,74.25,1.31064,4,3
CSc1nnc(SCC(=O)Nc2cc(C)nn2C)s1,MOSES sample,175,315.449,19,72.7,2.03272,5,2
c1(ccc(C(OC(C)C)=O)c(N)n1)-c1ccc(C)cc1,MOSES sample,176,270.332,20,65.21,3.20442,3,2
c1ccccc1-n1c(C(=O)N(C)c2cc(cc(C)c2)C)cnn1,MOSES sample,177,306.369,23,51.02,3.16074,3,3
C(C(Nc1cccc(c1)Cl)=O)NC(c1ccncc1)C,MOSES sample,178,289.766,20,54.02,3.0243,5,2
Cc1ccc(F)c(S(=O)(=O)N(C)c2cccc(O)c2)c1,MOSES sample,179,295.335,20,57.61,2.66482,3,2
C1CC(CCC1C)NC(=O)C(C1CCCC1)NC(=O)C,MOSES sample,180,280.412,20,58.2,2.3762,4,2
c12cc(C(=O)Nc3ccccc3)ccc1n(CC)nn2,MOSES sample,181,266.304,20,59.81,2.7035,3,3
c1(C(=O)Nc2nc(c(s2)-c2ccccc2)C)n(C)cc(c1)C(N)=O,MOSES sample,182,340.408,24,90.01,2.80822,4,3
c1([nH]c2ccccc2n1)CCC(=O)NCC(O)Cc1ccccc1,MOSES sample,183,323.396,24,78.01,2.2153,7,3
c1c(cccc1NC(=O)Cn1ccc(=O)[nH]c1=O)C(=O)NC1CC1,MOSES sample,184,328.328,24,113.06,0.0675,5,3
c1c(SC)cc(NC(=O)C2CC=CCC2)cc1,MOSES sample,185,247.363,17,29.1,3.7033,3,2
C(Oc1c(OC)cccc1)C(=O)N(CCO)C(C)C,MOSES sample,186,267.325,19,59,1.3033,7,1
COc1c(cc(NC(=O)NCc2cn(cc2)C)cc1)Cl,MOSES sample,187,293.754,20,55.29,3.0088,4,2
C(c1ccc(OCC(=O)C(C)(C)C)cc1)(NC(C)(C(OC)=O)C)=O,MOSES sample,188,335.4,24,81.7,2.362,6,1
O(CC(F)F)c1nc(ccc1)C(Nc1sc(C)c(CC)n1)=O,MOSES sample,189,327.356,22,64.11,3.30512,6,2
C1(C(Nc2ncnc(N3CCC(CC3)C)c2)C)CCCO1,MOSES sample,190,290.411,21,50.28,2.6923,4,3
Cc1nc2ccccc2nc1-c1ccc(N)cc1C#N,MOSES sample,191,260.3,20,75.59,3.0591,1,3
C(C(CO)Cc1cccc(Br)c1)(OC)=O,MOSES sample,192,273.126,15,46.53,1.7731,4,1
N#CCc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,MOSES sample,193,304.305,23,83.1,3.11138,3,3
C1CCN(C1(C#N)c1ccc(OC)cc1)C(=O)c1ccccc1F,MOSES sample,194,324.355,24,53.33,3.48938,3,3
C1(CC=CCC1C(OC)=O)C(=O)N1CCCCC1C(N)=O,MOSES sample,195,294.351,21,89.7,0.6082,3,2
c1c(NC(Cc2ccsc2)=O)cc2occc2c1,MOSES sample,196,257.314,18,42.24,3.6755,3,3
Nc1nc(-c2sccc2)ncc1C(NC1CCCC1)=O,MOSES sample,197,288.376,20,80.9,2.4597,3,3
Cc1sc(=O)n(CC(=O)NCC2(c3ccc(F)cc3F)CC2)c1C,MOSES sample,198,352.406,24,51.1,2.65284,5,3
C1CCCN(C1)C(=O)CSc1nnnn1-c1cc(C)c(C)cc1,MOSES sample,199,331.445,23,63.91,2.38374,4,3
COc1c(C)cc(Cl)cc1COC(=O)C1NCCC1,MOSES sample,200,283.755,19,47.56,2.45222,4,2
N1(CCN(CC1)Cc1scnc1)CC(NC1CCCCC1)=O,MOSES sample,201,322.478,22,48.47,1.7096,5,3
c1c(S(N)(=O)=O)c(OC2CC2)cc(S(N)(=O)=O)c1,MOSES sample,202,292.338,18,129.55,-0.4774,4,2
c1(ccccc1)C(NC(c1ccco1)C)C(NCCC)=O,MOSES sample,203,286.375,21,54.27,3.1977,7,2
c1(OC)c(c(OC)cc(c1)OC)C(=O)N(CC)Cc1ccncc1,MOSES sample,204,330.384,24,60.89,2.7697,7,2
C(Nc1c(NC(=O)C)ccc(C)c1)(=O)Nc1cc(ccc1)SC,MOSES sample,205,329.425,23,70.23,4.31932,4,2
O(CC(=O)NC(C)c1ccc(C)cc1)c1ccccc1NC(=O)C,MOSES sample,206,326.396,24,67.43,3.20962,6,2
c1c2c(cc(NC(NCCC)=O)c1)sc(C(C)C)n2,MOSES sample,207,277.393,19,54.02,3.9512,4,2
C1N(C(COC)=O)CCN(C(=O)c2ccc3CCCCc3c2)C1,MOSES sample,208,316.401,23,49.85,1.4962,3,3
c1cc2c(n(C)c(=O)n2-c2ccc(C)c(c2)N)cc1,MOSES sample,209,253.305,19,52.95,2.21982,1,3
s1c(Cc2c(cccc2)OCC)c(nc1N)CC,MOSES sample,210,262.378,18,48.14,3.2772,5,2
c1c(cccc1)Cn1c(=O)c(ccc1)NC(=O)NCCCO,MOSES sample,211,301.346,22,83.36,1.4005,6,2
